Fenotipo,Descripcion
"justo morbi ut odio cras mi pede malesuada in imperdiet","vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in"
"justo sollicitudin ut suscipit","luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at"
"justo sollicitudin ut suscipit a","ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar"
"justo sollicitudin ut suscipit a feugiat et eros vestibulum","ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi"
"lacinia eget tincidunt","curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim"
"lacinia erat vestibulum sed","elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy"
"lacinia erat vestibulum sed magna at nunc","duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel"
"lacinia erat vestibulum sed magna at nunc commodo placerat","nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at"
"lacinia sapien quis libero nullam sit amet","turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales"
"lacinia sapien quis libero nullam sit amet turpis elementum","at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper"
"lacus at turpis donec posuere metus vitae ipsum aliquam","vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque"
"lacus at turpis donec posuere metus vitae ipsum aliquam non","parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque"
"lacus curabitur at ipsum ac","sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse"
"lacus morbi","ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla"
"lacus morbi quis","vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet"
"lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar","consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus"
"lacus purus aliquet at feugiat non","ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel"
"laoreet ut rhoncus","donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia"
"laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus","velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse"
"lectus in est risus","nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula"
"lectus in est risus auctor sed tristique in","mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis"
"lectus pellentesque at nulla","dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis"
"lectus pellentesque at nulla suspendisse potenti cras","ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer"
"lectus pellentesque eget nunc","mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus"
"lectus pellentesque eget nunc donec quis","posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit"
"lectus suspendisse potenti in eleifend quam a odio","sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue"
"leo odio condimentum id luctus nec molestie sed justo","luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec"
"leo pellentesque ultrices","ante ipsum primis in faucibus orci luctus et ultrices posuere"
"libero convallis eget eleifend luctus ultricies eu nibh","ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel"
"libero nam dui proin leo","dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas"
"libero non mattis pulvinar nulla pede ullamcorper","ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien"
"libero non mattis pulvinar nulla pede ullamcorper augue a","sed magna at nunc commodo placerat praesent blandit nam nulla"
"libero nullam sit amet turpis","maecenas tristique est et tempus semper est quam pharetra magna"
"libero rutrum","at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac"
"ligula in lacus","nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec"
"ligula in lacus curabitur","donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere"
"ligula in lacus curabitur at","tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla"
"ligula pellentesque ultrices phasellus id sapien","pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et"
"ligula pellentesque ultrices phasellus id sapien in sapien","tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue"
"ligula pellentesque ultrices phasellus id sapien in sapien iaculis","turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse"
"ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue","iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula"
"ligula sit amet","mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa"
"ligula sit amet eleifend pede libero quis orci","pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci"
"ligula suspendisse ornare consequat","odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec"
"ligula suspendisse ornare consequat lectus","dui vel nisl duis ac nibh fusce lacus purus aliquet at"
"ligula vehicula","sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada"
"ligula vehicula consequat morbi","ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus"
"ligula vehicula consequat morbi a ipsum integer a nibh in","luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est"
"lobortis est phasellus sit amet erat","odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla"
"lobortis est phasellus sit amet erat nulla tempus vivamus","pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate"
"lobortis ligula sit amet","vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat"
"lorem integer tincidunt","in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec"
"lorem integer tincidunt ante vel ipsum praesent blandit","erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam"
"lorem ipsum dolor sit","ante ipsum primis in faucibus orci luctus et ultrices posuere"
"lorem ipsum dolor sit amet consectetuer adipiscing elit","a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius"
"lorem ipsum dolor sit amet consectetuer adipiscing elit proin","fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea"
"lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum","dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti"
"lorem quisque ut erat curabitur gravida","in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus"
"lorem quisque ut erat curabitur gravida nisi at nibh","in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus"
"lorem vitae mattis nibh ligula nec sem duis aliquam","nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla"
"luctus et ultrices","est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl"
"luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum","eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla"
"luctus et ultrices posuere cubilia curae mauris","vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl"
"luctus et ultrices posuere cubilia curae nulla","ligula sit amet eleifend pede libero quis orci nullam molestie nibh in"
"luctus nec molestie sed justo pellentesque","amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet"
"luctus tincidunt nulla mollis molestie lorem quisque","mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris"
"luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur","sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis"
"luctus ultricies eu nibh quisque","consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie"
"luctus ultricies eu nibh quisque id justo sit","natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida"
"maecenas rhoncus aliquam lacus morbi quis","odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla"
"maecenas rhoncus aliquam lacus morbi quis tortor","neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in"
"maecenas rhoncus aliquam lacus morbi quis tortor id","amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris"
"maecenas tristique est et tempus semper est quam","velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo"
"maecenas ut massa quis augue luctus tincidunt nulla","luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et"
"magna ac consequat metus","orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus"
"magna at nunc commodo placerat","consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo"
"magna at nunc commodo placerat praesent blandit nam","sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum"
"magna at nunc commodo placerat praesent blandit nam nulla integer","faucibus orci luctus et ultrices posuere cubilia curae donec pharetra"
"magnis dis parturient","curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac"
"magnis dis parturient montes nascetur ridiculus","id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus"
"magnis dis parturient montes nascetur ridiculus mus","non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat"
"magnis dis parturient montes nascetur ridiculus mus etiam","id massa id nisl venenatis lacinia aenean sit amet justo"
"malesuada in imperdiet et commodo vulputate","id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam"
"massa donec dapibus duis at velit eu est congue","sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus"
"massa id","id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit"
"massa id nisl venenatis lacinia aenean sit","eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin"
"massa quis augue luctus","tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in"
"massa quis augue luctus tincidunt nulla","tempus vivamus in felis eu sapien cursus vestibulum proin eu mi"
"massa quis augue luctus tincidunt nulla mollis molestie","ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc"
"massa quis augue luctus tincidunt nulla mollis molestie lorem quisque","eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo"
"massa tempor convallis nulla neque libero convallis eget eleifend","non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis"
"massa volutpat convallis morbi odio odio","posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat"
"mattis egestas","rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam"
"mattis egestas metus aenean fermentum","quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus"
"mattis odio donec","mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh"
"mattis odio donec vitae","integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia"
"mauris eget","in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et"
"mauris laoreet ut rhoncus aliquet","nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi"
"mauris morbi non","amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis"
"mauris morbi non lectus aliquam sit","vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum"
"mauris morbi non lectus aliquam sit amet","donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna"
"mauris morbi non lectus aliquam sit amet diam","quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus"
"mauris sit amet eros suspendisse accumsan tortor quis turpis","morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est"
"mauris vulputate","mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse"
"mauris vulputate elementum nullam varius nulla facilisi cras non","in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris"
"Megacystis-microcolon-intestinal hypoperistalsis syndrome","Megacystis-microcolon-intestinal hypoperistalsis syndrome (MMIHS) is a severe disorder affecting the muscles that line the bladder and intestines . It is characterized by impairment of the muscle contractions that move food through the digestive tract (peristalsis) and empty the bladder."
"Meier-Gorlin syndrome","Meier-Gorlin syndrome is a condition primarily characterized by short stature. It is considered a form of primordial dwarfism because the growth problems begin before birth (intrauterine growth retardation). After birth, affected individuals continue to grow at a slow rate."
"Menkes syndrome","Menkes syndrome is a disorder that affects copper levels in the body. It is characterized by sparse, kinky hair; failure to gain weight and grow at the expected rate (failure to thrive); and deterioration of the nervous system."
"metus aenean fermentum donec ut mauris","malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer"
"metus arcu","lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam"
"metus sapien ut nunc","ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem"
"mi pede malesuada","suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus"
"Microcephalic primordial dwarfism","Microcephalic osteodysplastic primordial dwarfism type 1 (MOPD1) is a genetic condition that is mainly characterized by intrauterine and post-natal growth retardation; an abnormally small head size ( microcephaly ); abnormal bone growth (skeletal dysplasia); distinctive facial features; and brain anomalies."
"molestie hendrerit","massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo"
"molestie hendrerit at vulputate vitae","lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc"
"molestie lorem quisque ut erat curabitur gravida nisi at nibh","magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed"
"molestie nibh in lectus pellentesque","ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at"
"molestie sed justo","eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus"
"molestie sed justo pellentesque viverra pede ac diam","praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum"
"montes nascetur ridiculus mus vivamus vestibulum","ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor"
"morbi a","sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas"
"morbi non quam","ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis"
"morbi non quam nec dui luctus rutrum nulla tellus","dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros"
"morbi odio odio","penatibus et magnis dis parturient montes nascetur ridiculus mus etiam"
"morbi odio odio elementum","et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere"
"morbi porttitor lorem","nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus"
"morbi sem mauris laoreet","lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla"
"morbi ut odio cras mi pede malesuada","suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et"
"morbi ut odio cras mi pede malesuada in imperdiet et","tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris"
"morbi vel lectus in quam fringilla rhoncus","sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel"
"morbi vestibulum velit","venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing"
"morbi vestibulum velit id pretium iaculis","mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae"
"Motor neuropathy, distal","The distal hereditary motor neuropathies (dHMN) comprise a heterogeneous group of diseases that share the common feature of a length-dependent predominantly motor neuropathy. Many forms of dHMN have minor sensory abnormalities and/or a significant upper-motor-neuron component, and there is often an overlap with the axonal forms of Charcot-Marie-Tooth disease (CMT2) and with juvenile forms of amyotrophic lateral sclerosis and hereditary spastic paraplegia. "
"mus etiam vel augue vestibulum rutrum","lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi"
"mus etiam vel augue vestibulum rutrum rutrum neque","sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel"
"mus vivamus vestibulum sagittis sapien cum sociis","a libero nam dui proin leo odio porttitor id consequat"
"nam dui proin leo odio porttitor id consequat","venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut"
"nam dui proin leo odio porttitor id consequat in","nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi"
"nam nulla integer pede justo","fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis"
"nam nulla integer pede justo lacinia eget tincidunt eget","ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam"
"nam ultrices libero","nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at"
"nam ultrices libero non mattis pulvinar nulla","ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec"
"nascetur ridiculus","vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare"
"natoque penatibus et magnis dis","integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat"
"natoque penatibus et magnis dis parturient","sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse"
"nec condimentum neque","libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices"
"nec dui luctus rutrum nulla tellus","nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in"
"nec euismod","ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in"
"nec euismod scelerisque quam","id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat"
"nec molestie sed","luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et"
"nec nisi volutpat eleifend donec ut","ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis"
"nec nisi vulputate nonummy maecenas tincidunt","nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed"
"nec nisi vulputate nonummy maecenas tincidunt lacus at velit","dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante"
"Nephrotic syndrome","Nephrotic syndrome is a group of symptoms that indicate your kidneys are not working properly. These symptoms include. too much protein in your urine, called proteinuria. low levels of a protein called albumin in your blood, called hypoalbuminemia."
"neque aenean auctor gravida sem praesent id massa","eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla"
"neque duis","blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci"
"neque duis bibendum morbi non quam nec dui","in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet"
"neque libero convallis eget","nulla sed accumsan felis ut at dolor quis odio consequat"
"neque libero convallis eget eleifend luctus ultricies eu nibh","condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas"
"neque sapien placerat ante nulla","amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus"
"neque sapien placerat ante nulla justo aliquam quis","vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient"
Neurodegeneration," disease is caused by the progressive loss of structure or function of neurons"
"nibh fusce","magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget"
"nibh in","quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis"
"nibh in lectus","dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus"
"nibh in lectus pellentesque at nulla suspendisse potenti","diam erat fermentum justo nec condimentum neque sapien placerat ante nulla"
"nibh in quis justo maecenas","lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod"
"nibh in quis justo maecenas rhoncus aliquam lacus morbi","sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede"
"nibh in quis justo maecenas rhoncus aliquam lacus morbi quis","pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc"
"nibh quisque id justo","neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut"
"nisi at nibh","turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula"
"nisi eu orci mauris lacinia sapien quis libero nullam","elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in"
"nisi nam ultrices libero non mattis pulvinar nulla","leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu"
"nisi nam ultrices libero non mattis pulvinar nulla pede","posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus"
"nisi volutpat eleifend donec","turpis enim blandit mi in porttitor pede justo eu massa donec"
"nisi volutpat eleifend donec ut dolor morbi","ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo"
"nisi volutpat eleifend donec ut dolor morbi vel lectus","eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis"
"nisi vulputate nonummy maecenas tincidunt lacus at velit","turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis"
"nisl aenean","sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla"
"nisl duis bibendum","a libero nam dui proin leo odio porttitor id consequat in"
"nisl duis bibendum felis sed interdum venenatis","cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia"
"nisl duis bibendum felis sed interdum venenatis turpis","etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi"
"nisl ut volutpat sapien arcu sed","luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin"
"non ligula pellentesque ultrices phasellus","consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus"
"non ligula pellentesque ultrices phasellus id sapien in sapien","purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu"
"non mauris morbi","vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien"
